product_id,category,sub_category,brand,product_name,price,weight_g,target_feeding_purpose,target_food_form,ingredients,tags,description
F0001,사료,건식사료,펫키친,펫키친 건식사료,78117,1890,피부,건식,귀리|유산균|오메가3,건식사료|피부|귀리|유산균|오메가3|건식,건식사료 제품으로 귀리/유산균 성분을 담았습니다.
F0002,사료,퍼피사료,그레인프리랩,그레인프리랩 퍼피사료,76268,4892,공용,건식,연어|현미|오메가3,퍼피사료|유기농|연어|현미|오메가3|건식,퍼피사료 제품으로 연어/현미 성분을 담았습니다.
F0003,사료,습식사료,와일드포,와일드포 습식사료,69238,1641,관절,습식,프로바이오틱스|홍합추출물|유산균|소고기,습식사료|관절|프로바이오틱스|홍합추출물|유산균|소고기|습식|소고기함유,습식사료 제품으로 프로바이오틱스/홍합추출물 성분을 담았습니다.
F0004,사료,실버사료,헬시포,헬시포 실버사료,39099,3411,피부,건식,고구마|소고기,실버사료|피부|고구마|소고기|건식|소고기함유,실버사료 제품으로 고구마/소고기 성분을 담았습니다.
F0005,사료,퍼피사료,스노우독,스노우독 퍼피사료,60155,3468,다이어트,공용,단호박|글루코사민,퍼피사료|다이어트|단호박|글루코사민,퍼피사료 제품으로 단호박/글루코사민 성분을 담았습니다.
F0006,사료,퍼피사료,펫키친,펫키친 퍼피사료,87760,3347,공용,건식,유산균|프로바이오틱스|귀리,퍼피사료|유산균|프로바이오틱스|귀리|건식,퍼피사료 제품으로 유산균/프로바이오틱스 성분을 담았습니다.
F0007,사료,실버사료,퍼피랩,퍼피랩 실버사료,79594,1226,공용,습식,유산균|단호박|고구마,실버사료|유산균|단호박|고구마|습식,실버사료 제품으로 유산균/단호박 성분을 담았습니다.
F0008,사료,실버사료,바크앤조이,바크앤조이 실버사료,60307,2887,피부,건식,글루코사민|스피루리나,실버사료|피부|유기농|글루코사민|스피루리나|건식,실버사료 제품으로 글루코사민/스피루리나 성분을 담았습니다.
F0009,사료,퍼피사료,와일드포,와일드포 퍼피사료,29121,1405,피부,건식,현미|귀리,퍼피사료|피부|현미|귀리|건식,퍼피사료 제품으로 현미/귀리 성분을 담았습니다.
F0010,사료,퍼피사료,바크앤조이,바크앤조이 퍼피사료,79682,794,관절,건식,현미|오메가3|홍합추출물,퍼피사료|관절|유기농|현미|오메가3|홍합추출물|건식,퍼피사료 제품으로 현미/오메가3 성분을 담았습니다.
