product_id,category,sub_category,brand,product_name,price,weight_g,size_range,target_foot_type,materials,concerns,tags,description
P0401,Healthwear,일상화,데일리솔,데일리솔 스텝4 일상화,93900,369,230-290,발볼넓음,천연가죽|메모리폼 인솔,발볼압박,충격흡수|아치서포트|와이드라스트,천연가죽 구조로 발볼압박을 잡아주는 일상화입니다. 230-290mm 사이즈 운영.
P0402,Healthwear,런닝화,아치핏,아치핏 코어4 런닝화,254900,207,235-295,발볼넓음,니트 어퍼|젤 쿠션|러버 아웃솔|엔지니어드 메쉬,무릎충격,쿠션강화|발목보호|아치서포트|경량|와이드라스트,발볼넓음 발에 맞춘 라스트를 적용한 런닝화. 니트 어퍼가 무릎충격 부담을 덜어줍니다.
P0403,Healthwear,일상화,스텝코어,스텝코어 플라이7 일상화,55900,372,230-290,발볼넓음,스웨이드|인조가죽|메모리폼 인솔,뒤꿈치까짐,아치서포트|안정화|와이드라스트,스웨이드 구조로 뒤꿈치까짐을 잡아주는 일상화입니다. 230-290mm 사이즈 운영.
P0404,Healthwear,일상화,런웨이브,런웨이브 트랙6 일상화,163900,264,220-275,평발,천연가죽|스웨이드|러버 아웃솔|캔버스,발볼압박|발땀,논슬립|쿠션강화|통기성|경량,발볼압박 때문에 신발 고르기 어려웠다면 천연가죽 일상화를 추천합니다.
P0405,Healthwear,일상화,에어트랙,에어트랙 트랙3 일상화,59900,318,240-300,평발,스웨이드|러버 아웃솔|캔버스,발볼압박|장시간보행 피로,충격흡수|데일리,평발 발에 맞춘 라스트를 적용한 일상화. 스웨이드가 발볼압박 부담을 덜어줍니다.
P0406,Healthwear,농구화,데일리솔,데일리솔 플라이4 농구화,99900,376,230-290,공용,합성피혁|헤링본 아웃솔,발목불안|착지충격,아치서포트|충격흡수,모든 발에 맞춘 라스트를 적용한 농구화. 합성피혁이 발목불안 부담을 덜어줍니다.
P0407,Healthwear,농구화,아치핏,아치핏 플라이1 농구화,109900,444,225-280,발볼넓음,에어 쿠션|TPU 힐카운터,미끄럼,아치서포트|논슬립|충격흡수|와이드라스트,에어 쿠션 구조로 미끄럼을 잡아주는 농구화입니다. 225-280mm 사이즈 운영.
P0408,Healthwear,일상화,포어풋,포어풋 코어8 일상화,138900,308,235-295,평발,천연가죽|스웨이드,발볼압박|장시간보행 피로|발땀,방수|장거리|통기성,데일리부터 장거리까지 커버하는 일상화. 천연가죽 조합으로 안정적인 착화감을 제공합니다.
P0409,Healthwear,런닝화,아치핏,아치핏 코어10 런닝화,188900,238,240-300,평발,카본 플레이트|EVA 미드솔|젤 쿠션,발땀,논슬립|장거리|발목보호,데일리부터 장거리까지 커버하는 런닝화. 카본 플레이트 조합으로 안정적인 착화감을 제공합니다.
P0410,Healthwear,워킹화,데일리솔,데일리솔 스텝10 워킹화,143900,291,220-275,공용,메쉬|논슬립 아웃솔|EVA 미드솔|고어텍스,아치통증,방수|안정화,데일리부터 장거리까지 커버하는 워킹화. 메쉬 조합으로 안정적인 착화감을 제공합니다.
P0411,Healthwear,워킹화,제로드롭,제로드롭 트랙12 워킹화,85900,293,240-300,공용,니트 어퍼|EVA 미드솔,아치통증|발볼압박,방수|아치서포트,모든 발에 맞춘 라스트를 적용한 워킹화. 니트 어퍼가 아치통증 부담을 덜어줍니다.
P0412,Healthwear,런닝화,그라운드핏,그라운드핏 스텝7 런닝화,100900,261,230-290,칼발,니트 어퍼|젤 쿠션|카본 플레이트,발땀,통기성|장거리,발땀 때문에 신발 고르기 어려웠다면 니트 어퍼 런닝화를 추천합니다.
P0413,Healthwear,일상화,솔라인,솔라인 웨이브8 일상화,142900,271,235-295,공용,캔버스|메모리폼 인솔|러버 아웃솔|천연가죽,발땀,안정화|발목보호|경량,발땀 때문에 신발 고르기 어려웠다면 캔버스 일상화를 추천합니다.
P0414,Healthwear,일상화,포어풋,포어풋 플라이5 일상화,137900,355,230-290,발볼넓음,천연가죽|캔버스|스웨이드|러버 아웃솔,발땀|장시간보행 피로,안정화|논슬립|와이드라스트,데일리부터 장거리까지 커버하는 일상화. 천연가죽 조합으로 안정적인 착화감을 제공합니다.
P0415,Healthwear,일상화,데일리솔,데일리솔 아치10 일상화,137900,379,240-300,공용,인조가죽|러버 아웃솔|천연가죽|캔버스,발땀|발볼압박,발목보호|아치서포트,모든 발에 맞춘 라스트를 적용한 일상화. 인조가죽이 발땀 부담을 덜어줍니다.
P0416,Healthwear,런닝화,에어트랙,에어트랙 웨이브10 런닝화,172900,266,230-290,평발,카본 플레이트|러버 아웃솔|젤 쿠션,발땀|뒤꿈치까짐|무릎충격,장거리|논슬립,발땀 때문에 신발 고르기 어려웠다면 카본 플레이트 런닝화를 추천합니다.
P0417,Healthwear,농구화,제로드롭,제로드롭 웨이브12 농구화,165900,375,220-275,발볼넓음,헤링본 아웃솔|합성피혁,착지충격|미끄럼|발목불안,충격흡수|발목보호|장거리|경량|와이드라스트,발볼넓음 발에 맞춘 라스트를 적용한 농구화. 헤링본 아웃솔이 착지충격 부담을 덜어줍니다.
P0418,Healthwear,일상화,에어트랙,에어트랙 스텝1 일상화,98900,333,220-275,칼발,인조가죽|러버 아웃솔|스웨이드|천연가죽,장시간보행 피로,발목보호|통기성,"한 짝 333g의 일상화, 인조가죽 채용으로 장시간보행 피로를 개선했습니다."
P0419,Healthwear,일상화,런웨이브,런웨이브 아치11 일상화,107900,378,240-300,발볼넓음,인조가죽|러버 아웃솔|캔버스,발볼압박|장시간보행 피로|뒤꿈치까짐,발목보호|통기성|와이드라스트,발볼압박 때문에 신발 고르기 어려웠다면 인조가죽 일상화를 추천합니다.
P0420,Healthwear,일상화,포어풋,포어풋 웨이브7 일상화,89900,277,235-295,평발,캔버스|인조가죽,장시간보행 피로|발땀,방수|장거리|경량,캔버스 구조로 장시간보행 피로를 잡아주는 일상화입니다. 235-295mm 사이즈 운영.
