purchase_id,customer_id,product_id,category,purchased_at,quantity,rating,review,is_holdout
O0001,C0246,P0570,Healthwear,2022-08-02,1,5,디자인도 예쁘고 어디에 매치해도 잘 어울립니다.,0
O0002,C0254,P0443,Healthwear,2022-08-15,1,5,만족합니다,1
O0003,C0204,P0300,PC_Peripherals,2022-08-25,1,5,그립감 좋고 손목 피로가 확실히 덜합니다. 다음엔 다른 라인도 사보려고요. 👍,0
O0004,C0246,P0259,PC_Peripherals,2022-09-08,3,3,손목피로은 좀 나아졌는데 마감이 아쉽습니다. 택배 박스 안에 완충재가 하나도 없더라고요. 가격 생각하면 좀 아쉽네요.,0
O0005,C0246,P0169,Cosmetics,2022-12-21,1,5,배송 빨라요 👍,0
O0006,C0227,P0578,Healthwear,2022-12-26,1,5,포장 상태 깔끔하게 잘 왔습니다. 발땀 걱정 덜었습니다. 진작 살 걸 그랬어요. ❤️,0
O0007,C0227,P0599,Healthwear,2022-12-30,1,5,가성비 좋네요,0
O0008,C0246,P0254,PC_Peripherals,2022-12-31,1,4,포장 상태 깔끔하게 잘 왔습니다. 사무용 마우스 중에 이 가격대에서 이 정도면 훌륭하죠. 그립감 때문에 바꿨는데 아주 만족합니다. 다 쓰면 또 살 것 같아요.,0
O0009,C0215,P0483,Healthwear,2023-01-03,1,3,가격 대비 아쉬움,0
O0010,C0101,P0085,Cosmetics,2023-03-06,3,5,순하게 잘 맞아서 두 번째 구매입니다. 복합성 피부인데 자극 없이 잘 맞았어요. 다음엔 다른 라인도 사보려고요.,0
O0011,C0246,P0345,PC_Peripherals,2023-03-11,1,4,만족합니다,0
O0012,C0255,P0111,Cosmetics,2023-03-19,1,5,복합성 피부인데 자극 없이 잘 맞았어요.,0
O0013,C0255,P0091,Cosmetics,2023-03-25,2,5,라방에서 싸게 사서 더 만족스러워요. 끈적임 없이 촉촉해서 여름에도 부담 없이 발라요. 건조함 때문에 계속 고민이었는데 확실히 나아진 느낌입니다. 세라마이드 들어간 제품 찾고 있었는데 딱이네요.,0
O0014,C0134,P0461,Healthwear,2023-04-03,1,5,족저근막염 걱정 덜었습니다. 진작 살 걸 그랬어요. 다음엔 다른 라인도 사보려고요.,0
O0015,C0178,P0181,Cosmetics,2023-04-18,3,5,,0
O0016,C0157,P0202,PC_Peripherals,2023-05-26,1,5,적축 체감이 확실하네요. 클릭음이 조용해서 사무실에서 쓰기 딱이에요.,0
O0017,C0009,P0230,PC_Peripherals,2023-05-28,1,3,그냥 그래요,0
O0018,C0274,P0032,Cosmetics,2023-06-05,1,4,안티에이징 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요. 발림성 좋고 흡수도 빨라서 아침에 쓰기 편해요. 🥰,0
O0019,C0178,P0376,PC_Peripherals,2023-06-17,2,5,,0
O0020,C0255,P0066,Cosmetics,2023-07-01,1,3,가격 대비 아쉬움,0
O0021,C0270,P0573,Healthwear,2023-07-07,1,5,배송 빨라요 👍,0
O0022,C0046,P0100,Cosmetics,2023-07-18,2,3,향은 호불호 갈릴 것 같아요. 가격 생각하면 용량이 살짝 아쉽네요.,0
O0023,C0209,P0359,PC_Peripherals,2023-07-19,2,3,무난합니다,0
O0024,C0123,P0376,PC_Peripherals,2023-07-28,1,5,,0
O0025,C0242,P0038,Cosmetics,2023-07-28,2,5,선물용으로도 괜찮을 만큼 포장이 잘 돼서 왔어요. 세라마이드 들어간 제품 찾고 있었는데 딱이네요. 다음엔 다른 라인도 사보려고요. 👍🏻,0
O0026,C0012,P0099,Cosmetics,2023-08-12,1,5,주문하고 다음날 바로 도착했네요. 보습 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요.,0
O0027,C0240,P0529,Healthwear,2023-08-14,1,5,디자인도 예쁘고 어디에 매치해도 잘 어울립니다.,1
O0028,C0016,P0027,Cosmetics,2023-08-17,2,2,쓰고 나서 오히려 트러블이 올라왔습니다. 박스가 찌그러진 채로 도착해서 좀 당황했어요. 가격 생각하면 좀 아쉽네요.,0
O0029,C0227,P0345,PC_Peripherals,2023-08-21,1,4,그립감 좋고 손목 피로가 확실히 덜합니다. 2.4GHz 무선 체감이 확실하네요.,0
O0030,C0151,P0370,PC_Peripherals,2023-08-23,2,4,1600DPI 체감이 확실하네요.,0
