product_id,product_category_id,brand,name,food_form,price_krw,weight_g,kcal_per_100g,target_size_min,target_size_max,target_age_min_month,target_age_max_month,description,ingredients_verified,is_active,created_at,updated_at
1,1,멍푸드,멍푸드 사료 01호,습식,9800,750,88,1,5,0,12,"개 전용 습식 사료. 전 체구, 유아기 대상. 오리고기·우육분·양고기 배합. 신장 관리 목적.",0,1,2026-05-13 08:16:15,2026-07-11 04:57:25
2,1,도그밀,도그밀 사료 01호,생식,30800,1980,142,1,5,12,1200,"개 전용 생식 사료. 전 체구, 성년기 대상. 오리안심·소맥분 배합. 다이어트 관리 목적.",0,0,2024-06-17 02:12:39,2026-01-31 21:38:35
3,1,퍼피랩,퍼피랩 사료 01호,건식,42600,6350,355,1,5,0,12,"개 전용 건식 사료. 전 체구, 유아기 대상. 양고기·난황분말·탈지분유 배합. 관절 관리 목적.",1,1,2025-11-04 19:51:03,2026-08-10 14:39:08
4,4,스노우독,스노우독 트릿 01호,동결건조,25200,240,466,1,5,12,1200,"개 전용 동결건조 트릿. 전 체구, 성년기 대상. 오리안심·비트펄프·착색료 배합. 관절/신장 관리 목적.",1,1,2023-06-22 08:37:54,2023-11-04 08:12:58
5,1,스노우독,스노우독 사료 01호,동결건조,29100,310,409,1,5,0,1200,"개 전용 동결건조 사료. 전 체구, 전 연령 대상. 닭가슴살·닭지방·귀리 배합. 다이어트 관리 목적.",1,1,2023-12-29 20:38:05,2025-06-05 13:41:16
6,3,냥푸드,냥푸드 덴탈껌 01호,동결건조,8900,100,439,1,5,0,1200,"고양이 전용 동결건조 덴탈껌. 전 체구, 전 연령 대상. 오리안심·스피루리나·프로바이오틱스 배합. 치아 관리 목적.",0,1,2026-03-20 03:20:17,2026-04-25 02:37:20
7,4,펫키친,펫키친 트릿 01호,동결건조,9200,120,,1,5,12,1200,"개·고양이 공용 동결건조 트릿. 전 체구, 성년기 대상. 오리안심·소고기·연어 배합. 일상 급여 목적.",1,1,2023-12-07 18:43:30,2024-03-11 13:10:25
8,1,바크앤조이,바크앤조이 사료 01호,습식,29500,1650,97,4,5,0,1200,"개 전용 습식 사료. 대형~초대형, 전 연령 대상. 소고기·밀 배합. 피부/소화 관리 목적.",0,1,2025-08-07 00:49:39,2026-02-28 16:30:53
9,3,와일드포,와일드포 덴탈껌 01호,건식,7100,270,395,1,5,0,1200,"개 전용 건식 덴탈껌. 전 체구, 전 연령 대상. 칠면조고기·우육분·연어 배합. 치아/소화 관리 목적.",1,0,2025-05-03 23:46:03,2026-03-17 00:47:35
10,4,네이처독,네이처독 트릿 01호,공용,24900,460,334,1,5,0,12,"개 전용 공용 트릿. 전 체구, 유아기 대상. 계란·밀웜분말 배합. 일상 급여 목적.",1,1,2023-03-04 06:04:57,2024-03-26 10:33:12
11,5,와일드포,와일드포 수제간식 01호,동결건조,40800,280,434,1,2,12,1200,"개·고양이 공용 동결건조 수제간식. 초소형~소형, 성년기 대상. 양고기·비트펄프·가금부산물분 배합. 신장 관리 목적.",1,1,2025-10-19 23:35:18,2026-07-10 08:54:06
12,1,멍푸드,멍푸드 사료 02호,공용,11000,1670,344,1,5,0,1200,"개 전용 공용 사료. 전 체구, 전 연령 대상. 오리안심·연어·옥수수전분 배합. 일상 급여 목적.",1,1,2026-07-24 23:33:23,2026-08-14 06:54:43
13,1,바크앤조이,바크앤조이 사료 02호,건식,107000,13020,362,1,2,84,1200,"개 전용 건식 사료. 초소형~소형, 노령기 대상. 참치·백미·완두단백 배합. 소화 관리 목적.",1,0,2025-02-20 08:28:54,2025-03-18 08:08:48
14,1,펫키친,펫키친 사료 01호,건식,90800,10890,347,1,5,0,1200,"개 전용 건식 사료. 전 체구, 전 연령 대상. 우육분·돼지고기·옥수수 배합. 관절 관리 목적.",0,1,2026-01-10 02:42:08,2026-05-10 07:22:22
15,1,와일드포,와일드포 사료 01호,습식,3700,170,88,1,5,0,1200,"개 전용 습식 사료. 전 체구, 전 연령 대상. 양고기·대구살·옥수수 배합. 일상 급여 목적.",0,1,2026-02-23 13:28:50,2026-05-18 05:00:54
16,1,퍼피랩,퍼피랩 사료 02호,습식,40400,1900,80,1,5,0,1200,"개 전용 습식 사료. 전 체구, 전 연령 대상. 계육분·참치·홍합추출물 배합. 피부 관리 목적.",1,1,2026-05-05 21:14:29,2026-07-15 23:16:06
17,1,펫키친,펫키친 사료 02호,건식,48200,5570,334,1,5,0,1200,"개 전용 건식 사료. 전 체구, 전 연령 대상. 오리안심·돼지고기·연어 배합. 다이어트/소화 관리 목적.",1,1,2026-04-23 22:54:51,2026-04-29 17:34:58
18,1,냥푸드,냥푸드 사료 01호,습식,17800,940,,1,2,84,1200,"고양이 전용 습식 사료. 초소형~소형, 노령기 대상. 칠면조고기·새우·치즈분말 배합. 관절 관리 목적.",1,1,2024-12-11 15:28:45,2025-05-13 01:58:34
19,1,도그밀,도그밀 사료 02호,생식,26900,1470,180,1,5,0,1200,"개 전용 생식 사료. 전 체구, 전 연령 대상. 닭고기·닭지방·귀리 배합. 피부 관리 목적.",1,1,2025-09-14 23:12:00,2026-06-18 08:21:51
20,4,펫키친,펫키친 트릿 02호,동결건조,10000,110,440,4,5,0,1200,"개 전용 동결건조 트릿. 대형~초대형, 전 연령 대상. 양고기·대구살·난황분말 배합. 일상 급여 목적.",1,1,2023-11-01 11:34:02,2023-12-09 02:26:05
21,1,펫키친,펫키친 사료 03호,건식,66900,13640,382,1,2,84,1200,"개 전용 건식 사료. 초소형~소형, 노령기 대상. 계육분·닭지방·오리안심 배합. 피부 관리 목적.",1,0,2026-02-04 15:02:30,2026-02-28 03:02:53
22,1,스노우독,스노우독 사료 02호,건식,18300,1570,424,1,5,0,1200,"개 전용 건식 사료. 전 체구, 전 연령 대상. 닭가슴살·칠면조고기·계란 배합. 일상 급여 목적.",1,1,2024-11-23 06:33:03,2025-12-26 10:12:42
23,3,퍼피랩,퍼피랩 덴탈껌 01호,동결건조,20400,200,445,1,2,12,1200,"개 전용 동결건조 덴탈껌. 초소형~소형, 성년기 대상. 오리고기·양고기·연어 배합. 관절/치아 관리 목적.",1,1,2024-04-08 06:46:12,2024-06-13 06:42:58
24,4,퍼피랩,퍼피랩 트릿 01호,습식,14400,290,90,1,5,0,12,"개 전용 습식 트릿. 전 체구, 유아기 대상. 새우·홍합추출물·동물성유지 배합. 소화 관리 목적.",1,1,2023-05-15 22:44:08,2026-03-20 10:15:41
25,1,펫키친,펫키친 사료 04호,건식,13900,1140,390,4,5,12,1200,"개 전용 건식 사료. 대형~초대형, 성년기 대상. 닭가슴살·오리안심·백미 배합. 다이어트 관리 목적.",1,0,2024-02-19 20:48:48,2025-05-09 09:11:10
26,3,스노우독,스노우독 덴탈껌 01호,동결건조,7800,70,423,1,5,0,1200,"개 전용 동결건조 덴탈껌. 전 체구, 전 연령 대상. 오리고기·스피루리나·어분 배합. 다이어트/피부/치아 관리 목적.",1,1,2023-06-02 16:22:59,2026-06-25 14:43:17
27,1,바크앤조이,바크앤조이 사료 03호,동결건조,81900,970,496,1,1,84,1200,"개 전용 동결건조 사료. 초소형 전용, 노령기 대상. 오리고기·우육분·돼지고기 배합. 다이어트 관리 목적.",1,1,2025-04-15 23:45:16,2026-08-05 07:56:42
28,4,그레인프리랩,그레인프리랩 트릿 01호,건식,3700,80,430,1,5,0,1200,"개 전용 건식 트릿. 전 체구, 전 연령 대상. 닭고기·치즈분말 배합. 관절 관리 목적.",1,1,2024-10-07 21:06:15,2025-11-26 08:50:24
29,1,냥푸드,냥푸드 사료 02호,건식,23300,2410,362,1,5,0,1200,"고양이 전용 건식 사료. 전 체구, 전 연령 대상. 소고기·연어·새우 배합. 소화 관리 목적.",1,1,2025-07-17 01:49:52,2025-08-21 21:16:23
30,4,캣테이블,캣테이블 트릿 01호,건식,3500,170,366,1,5,12,1200,"고양이 전용 건식 트릿. 전 체구, 성년기 대상. 돼지고기·홍합추출물·오메가3 배합. 관절 관리 목적.",1,1,2026-07-19 21:29:20,2026-07-27 21:14:31
31,1,와일드포,와일드포 사료 02호,습식,25400,1270,110,1,5,0,12,"개 전용 습식 사료. 전 체구, 유아기 대상. 오리안심·요거트분말·보리 배합. 다이어트 관리 목적.",1,1,2025-11-15 12:15:21,2026-04-12 23:06:42
32,4,퍼피랩,퍼피랩 트릿 02호,건식,4200,190,394,1,5,12,1200,"개 전용 건식 트릿. 전 체구, 성년기 대상. 계육분·돼지고기·어분 배합. 관절 관리 목적.",1,1,2023-09-19 09:03:34,2024-11-08 01:18:21
