product_id,category,sub_category,brand,product_name,price,weight_g,target_user_type,key_specs,concerns,tags,description
P0201,PC_Peripherals,게이밍 마우스,키크론랩,키크론랩 X8 SE 게이밍 마우스,97900,49,FPS유저,유선 연결|1000Hz 폴링레이트|26000DPI 광학센서,그립감|손목피로|손땀,프리미엄|인체공학|유선|경량,"1000Hz 폴링레이트 기반의 게이밍 마우스, 그립감에 민감한 사용자에게 추천합니다."
P0202,PC_Peripherals,게이밍 키보드,노바핏,노바핏 K1 Lite 게이밍 키보드,327900,1387,FPS유저,무선 3모드|적축,손목피로,장시간배터리|가성비|무선,무선 3모드 방식의 게이밍 키보드. 적축 탑재로 손목피로를 줄였습니다.
P0203,PC_Peripherals,게이밍 마우스,코어웨이브,코어웨이브 P8 Max 게이밍 마우스,68900,56,FPS유저,2.4GHz 무선|1000Hz 폴링레이트,손목피로|그립감|지연시간,가성비|장시간사용|RGB|무선|경량,56g의 게이밍 마우스로 손목피로 걱정 없이 사용할 수 있습니다. 1000Hz 폴링레이트 지원.
P0204,PC_Peripherals,게이밍 키보드,사일런트웍스,사일런트웍스 K7 SE 게이밍 키보드,149900,1144,사무직,유선 연결|청축|적축|갈축,키감,핫스왑|저소음|휴대성|유선,사무직 사용자를 겨냥한 게이밍 키보드. 청축 구성으로 키감을 개선했습니다.
P0205,PC_Peripherals,게이밍 키보드,노바핏,노바핏 P1 Lite 게이밍 키보드,144900,943,FPS유저,유선 연결|청축,손목피로|내구성,가성비|RGB|유선,943g의 게이밍 키보드로 손목피로 걱정 없이 사용할 수 있습니다. 청축 지원.
P0206,PC_Peripherals,무선 이어폰,펄스텍,펄스텍 Z2 무선 이어폰,94900,7,사무직,블루투스 5.3|저지연 게임모드|액티브 노이즈캔슬링|8시간 재생,착용압박|배터리부족|차음성,인체공학|저소음|무선,"저지연 게임모드 기반의 무선 이어폰, 착용압박에 민감한 사용자에게 추천합니다."
P0207,PC_Peripherals,게이밍 마우스,렉스기어,렉스기어 G6 게이밍 마우스,118900,71,FPS유저,유선 연결|광학식 스위치|PTFE 스케이트|26000DPI 광학센서,무게부담,인체공학|장시간사용|유선,71g의 게이밍 마우스로 무게부담 걱정 없이 사용할 수 있습니다. 광학식 스위치 지원.
P0208,PC_Peripherals,게이밍 키보드,코어웨이브,코어웨이브 X2 Max 게이밍 키보드,265900,765,FPS유저,무선 3모드|갈축,손목피로|타건소음,인체공학|RGB|휴대성|무선|경량,FPS유저 사용자를 겨냥한 게이밍 키보드. 갈축 구성으로 손목피로를 개선했습니다.
P0209,PC_Peripherals,무선 이어폰,노바핏,노바핏 K5 SE 무선 이어폰,62900,8,공용,블루투스 5.3|무선충전 지원|멀티포인트|액티브 노이즈캔슬링,배터리부족,장시간사용|인체공학|무선,8g의 무선 이어폰으로 배터리부족 걱정 없이 사용할 수 있습니다. 무선충전 지원 지원.
P0210,PC_Peripherals,게이밍 키보드,펄스텍,펄스텍 G9 SE 게이밍 키보드,114900,1084,사무직,무선 3모드|풀배열|핫스왑 소켓|적축,내구성|채터링,휴대성|가성비|무선,무선 3모드 방식의 게이밍 키보드. 풀배열 탑재로 내구성을 줄였습니다.
P0211,PC_Peripherals,게이밍 마우스,코어웨이브,코어웨이브 G1 SE 게이밍 마우스,93900,90,FPS유저,2.4GHz 무선|8000Hz 폴링레이트|26000DPI 광학센서,손목피로|손땀,인체공학|RGB|무선,90g의 게이밍 마우스로 손목피로 걱정 없이 사용할 수 있습니다. 8000Hz 폴링레이트 지원.
P0212,PC_Peripherals,무선 이어폰,펄스텍,펄스텍 G1 무선 이어폰,237900,5,디자이너,블루투스 5.3|무선충전 지원|저지연 게임모드|IPX4 방수,차음성|착용압박,핫스왑|장시간배터리|프리미엄|무선|경량,무선충전 지원을 적용한 무선 이어폰. 차음성 부담을 줄여 장시간 사용에 적합합니다.
P0213,PC_Peripherals,무선 이어폰,쿼드리움,쿼드리움 X5 Max 무선 이어폰,316900,9,디자이너,블루투스 5.3|8시간 재생|주변음 허용모드,통화품질|착용압박|배터리부족,핫스왑|RGB|인체공학|무선,8시간 재생을 적용한 무선 이어폰. 통화품질 부담을 줄여 장시간 사용에 적합합니다.
P0214,PC_Peripherals,게이밍 마우스,코어웨이브,코어웨이브 K1 Lite 게이밍 마우스,140900,68,디자이너,2.4GHz 무선|온보드 메모리|26000DPI 광학센서,그립감|손목피로|손땀,장시간배터리|핫스왑|무선,68g의 게이밍 마우스로 그립감 걱정 없이 사용할 수 있습니다. 온보드 메모리 지원.
P0215,PC_Peripherals,사무용 마우스,쿼드리움,쿼드리움 X1 Max 사무용 마우스,46900,105,사무직,유선 연결|정숙 스크롤|무소음 클릭|1600DPI,배터리부족|클릭소음,인체공학|프리미엄|유선,정숙 스크롤을 적용한 사무용 마우스. 배터리부족 부담을 줄여 장시간 사용에 적합합니다.
P0216,PC_Peripherals,사무용 마우스,사일런트웍스,사일런트웍스 M1 Max 사무용 마우스,58900,94,디자이너,2.4GHz 무선|1600DPI|인체공학 그립,그립감|클릭소음|배터리부족,저소음|장시간배터리|무선,2.4GHz 무선 방식의 사무용 마우스. 1600DPI 탑재로 그립감을 줄였습니다.
P0217,PC_Peripherals,게이밍 키보드,렉스기어,렉스기어 K8 SE 게이밍 키보드,259900,768,FPS유저,무선 3모드|텐키리스|65% 배열|적축,키감|내구성|채터링,저지연|장시간배터리|무선|경량,FPS유저 사용자를 겨냥한 게이밍 키보드. 텐키리스 구성으로 키감을 개선했습니다.
P0218,PC_Peripherals,게이밍 마우스,제트스위치,제트스위치 G8 게이밍 마우스,65900,83,FPS유저,유선 연결|1000Hz 폴링레이트|PTFE 스케이트,지연시간|무게부담|손목피로,핫스왑|장시간사용|유선,1000Hz 폴링레이트를 적용한 게이밍 마우스. 지연시간 부담을 줄여 장시간 사용에 적합합니다.
P0219,PC_Peripherals,게이밍 마우스,제트스위치,제트스위치 G4 SE 게이밍 마우스,64900,58,FPS유저,유선 연결|온보드 메모리|26000DPI 광학센서|광학식 스위치,손땀,핫스왑|RGB|유선|경량,온보드 메모리를 적용한 게이밍 마우스. 손땀 부담을 줄여 장시간 사용에 적합합니다.
P0220,PC_Peripherals,게이밍 마우스,쿼드리움,쿼드리움 X6 Pro 게이밍 마우스,159900,86,FPS유저,유선 연결|70시간 배터리|PTFE 스케이트,손목피로|무게부담,장시간사용|저지연|유선,FPS유저 사용자를 겨냥한 게이밍 마우스. 70시간 배터리 구성으로 손목피로를 개선했습니다.
P0221,PC_Peripherals,게이밍 키보드,오르빗,오르빗 P4 Lite 게이밍 키보드,230900,1143,FPS유저,유선 연결|갈축,내구성|키감|손목피로,RGB|핫스왑|유선,FPS유저 사용자를 겨냥한 게이밍 키보드. 갈축 구성으로 내구성을 개선했습니다.
P0222,PC_Peripherals,무선 이어폰,노바핏,노바핏 X3 무선 이어폰,283900,6,공용,블루투스 5.3|8시간 재생|멀티포인트|IPX4 방수,차음성,장시간배터리|휴대성|무선,블루투스 5.3 방식의 무선 이어폰. 8시간 재생 탑재로 차음성을 줄였습니다.
P0223,PC_Peripherals,사무용 마우스,렉스기어,렉스기어 G3 사무용 마우스,25900,77,사무직,2.4GHz 무선|1600DPI|USB-C 충전,배터리부족|클릭소음|손목피로,장시간배터리|저지연|휴대성|무선|경량,2.4GHz 무선 방식의 사무용 마우스. 1600DPI 탑재로 배터리부족을 줄였습니다.
P0224,PC_Peripherals,사무용 마우스,에이펙스IO,에이펙스IO X7 사무용 마우스,35900,105,공용,유선 연결|인체공학 그립|1600DPI|USB-C 충전,배터리부족|손목피로,휴대성|핫스왑|프리미엄|유선,모든 사용자를 겨냥한 사무용 마우스. 인체공학 그립 구성으로 배터리부족을 개선했습니다.
P0225,PC_Peripherals,게이밍 키보드,노바핏,노바핏 Z6 게이밍 키보드,120900,971,FPS유저,유선 연결|텐키리스,키감|내구성,핫스왑|인체공학|유선,"텐키리스 기반의 게이밍 키보드, 키감에 민감한 사용자에게 추천합니다."
P0226,PC_Peripherals,게이밍 마우스,쿼드리움,쿼드리움 G7 Lite 게이밍 마우스,73900,88,FPS유저,2.4GHz 무선|26000DPI 광학센서|1000Hz 폴링레이트,무게부담|그립감,인체공학|장시간사용|무선,88g의 게이밍 마우스로 무게부담 걱정 없이 사용할 수 있습니다. 26000DPI 광학센서 지원.
P0227,PC_Peripherals,게이밍 마우스,노바핏,노바핏 M1 Lite 게이밍 마우스,66900,73,FPS유저,2.4GHz 무선|광학식 스위치|온보드 메모리|PTFE 스케이트,손땀|지연시간|그립감,장시간배터리|프리미엄|무선,FPS유저 사용자를 겨냥한 게이밍 마우스. 광학식 스위치 구성으로 손땀을 개선했습니다.
P0228,PC_Peripherals,게이밍 키보드,노바핏,노바핏 Z2 Max 게이밍 키보드,244900,910,FPS유저,유선 연결|풀배열,키감,핫스왑|인체공학|휴대성|유선,유선 연결 방식의 게이밍 키보드. 풀배열 탑재로 키감을 줄였습니다.
P0229,PC_Peripherals,게이밍 키보드,펄스텍,펄스텍 X2 Lite 게이밍 키보드,237900,1102,FPS유저,유선 연결|핫스왑 소켓,타건소음|내구성|채터링,프리미엄|핫스왑|유선,FPS유저 사용자를 겨냥한 게이밍 키보드. 핫스왑 소켓 구성으로 타건소음을 개선했습니다.
P0230,PC_Peripherals,게이밍 키보드,제트스위치,제트스위치 Z1 게이밍 키보드,64900,1054,FPS유저,무선 3모드|핫스왑 소켓,키감|타건소음|내구성,인체공학|저지연|무선,핫스왑 소켓을 적용한 게이밍 키보드. 키감 부담을 줄여 장시간 사용에 적합합니다.
P0231,PC_Peripherals,게이밍 마우스,사일런트웍스,사일런트웍스 K6 Max 게이밍 마우스,127900,52,FPS유저,유선 연결|온보드 메모리,손목피로|무게부담|지연시간,휴대성|RGB|프리미엄|유선|경량,온보드 메모리를 적용한 게이밍 마우스. 손목피로 부담을 줄여 장시간 사용에 적합합니다.
P0232,PC_Peripherals,게이밍 마우스,렉스기어,렉스기어 K9 Max 게이밍 마우스,166900,55,FPS유저,유선 연결|8000Hz 폴링레이트,무게부담,장시간사용|프리미엄|인체공학|유선|경량,55g의 게이밍 마우스로 무게부담 걱정 없이 사용할 수 있습니다. 8000Hz 폴링레이트 지원.
P0233,PC_Peripherals,게이밍 키보드,오르빗,오르빗 G8 SE 게이밍 키보드,99900,818,디자이너,무선 3모드|65% 배열,키감,저지연|장시간배터리|무선|경량,"65% 배열 기반의 게이밍 키보드, 키감에 민감한 사용자에게 추천합니다."
