product_id,category,sub_category,brand,product_name,price,volume_ml,target_skin_type,ingredients,concerns,tags,description
P0001,Cosmetics,보습,리프팅데이,리프팅데이 보습 크림 60ml,54900,60,복합성,시어버터|글리세린|히알루론산|판테놀,건조함|각질,가벼운제형|논코메도제닉,"시어버터를 핵심으로 배합한 보습 라인 크림, 복합성 피부에 부담 없이 사용 가능합니다."
P0002,Cosmetics,보습,글로우랩,글로우랩 보습 로션 100ml,42900,100,공용,시어버터|히알루론산|콜라겐,장벽손상|속당김,더모테스트완료|EWG그린|무향,"장벽손상 때문에 고민이라면, 시어버터 함유 보습 로션으로 데일리 케어를 시작해보세요."
P0003,Cosmetics,안티에이징,포뮬러9,포뮬러9 안티에이징 앰플 20ml,122900,20,공용,레티놀|바쿠치올|EGF|코엔자임Q10,모공|주름,고보습|저자극,"레티놀을 핵심으로 배합한 안티에이징 라인 앰플, 모든 피부에 부담 없이 사용 가능합니다."
P0004,Cosmetics,미백,포뮬러9,포뮬러9 미백 토너 150ml,43900,150,공용,감초추출물|유자추출물,색소침착,끈적임없음|비건,"감초추출물을 핵심으로 배합한 미백 라인 토너, 모든 피부에 부담 없이 사용 가능합니다."
P0005,Cosmetics,보습,모이스트업,모이스트업 보습 세럼 30ml,51900,30,공용,시어버터|히알루론산|글리세린,속당김,EWG그린|쿨링|저자극|가벼운제형,시어버터 성분이 속당김 고민을 집중 관리해주는 보습 세럼입니다.
P0006,Cosmetics,안티에이징,아쿠아셀,아쿠아셀 안티에이징 세럼 30ml,72900,30,건성,아데노신|레티놀|세라마이드|바쿠치올,주름|탄력저하|모공,더모테스트완료|쿨링|끈적임없음,아데노신 성분이 주름 고민을 집중 관리해주는 안티에이징 세럼입니다.
P0007,Cosmetics,진정,모이스트업,모이스트업 진정 젤크림 100ml,61900,100,지성,센텔라아시아티카|판테놀|아줄렌|프로폴리스,여드름|홍조|민감,무향|비건,"여드름 때문에 고민이라면, 센텔라아시아티카 함유 진정 젤크림으로 데일리 케어를 시작해보세요."
P0008,Cosmetics,안티에이징,퓨어리즘,퓨어리즘 안티에이징 앰플 50ml,112900,50,복합성,바쿠치올|EGF|코엔자임Q10,모공,더모테스트완료|끈적임없음,"복합성 피부를 위해 설계된 앰플로, 바쿠치올이 모공을 케어합니다."
P0009,Cosmetics,미백,클리어핏,클리어핏 미백 앰플 50ml,61900,50,복합성,트라넥삼산|비타민C|유자추출물|글루타치온,잡티,더모테스트완료|데일리|EWG그린|쿨링,50ml 용량의 앰플. 트라넥삼산 배합으로 잡티 개선에 도움을 줍니다.
P0010,Cosmetics,미백,퓨어리즘,퓨어리즘 미백 세럼 40ml,58900,40,공용,글루타치온|나이아신아마이드,기미|잡티|칙칙함,EWG그린|쿨링|끈적임없음|무향,글루타치온 성분이 기미 고민을 집중 관리해주는 미백 세럼입니다.
P0011,Cosmetics,안티에이징,더마노트,더마노트 안티에이징 크림 80ml,25900,80,복합성,바쿠치올|코엔자임Q10|EGF,주름,고보습|더모테스트완료|비건|무향,"바쿠치올을 핵심으로 배합한 안티에이징 라인 크림, 복합성 피부에 부담 없이 사용 가능합니다."
P0012,Cosmetics,진정,모이스트업,모이스트업 진정 세럼 30ml,79900,30,공용,티트리|센텔라아시아티카|어성초,트러블|민감,저자극|더모테스트완료|무향|가벼운제형,"티트리를 핵심으로 배합한 진정 라인 세럼, 모든 피부에 부담 없이 사용 가능합니다."
P0013,Cosmetics,미백,클리어핏,클리어핏 미백 크림 60ml,28900,60,공용,비타민C|감초추출물,색소침착|잡티,빠른흡수|고보습,"모든 피부를 위해 설계된 크림으로, 비타민C가 색소침착을 케어합니다."
P0014,Cosmetics,안티에이징,클리어핏,클리어핏 안티에이징 앰플 20ml,54900,20,공용,코엔자임Q10|아데노신|EGF,모공|주름|다크서클,비건|가벼운제형|고보습,"모든 피부를 위해 설계된 앰플로, 코엔자임Q10이 모공을 케어합니다."
P0015,Cosmetics,미백,더마노트,더마노트 미백 앰플 50ml,67900,50,공용,글루타치온|나이아신아마이드|알부틴|트라넥삼산,잡티,비건|데일리,"잡티 때문에 고민이라면, 글루타치온 함유 미백 앰플로 데일리 케어를 시작해보세요."
P0016,Cosmetics,보습,포뮬러9,포뮬러9 보습 세럼 30ml,77900,30,건성,아보카도오일|스쿠알란|판테놀,장벽손상|속당김,쿨링|무향,30ml 용량의 세럼. 아보카도오일 배합으로 장벽손상 개선에 도움을 줍니다.
P0017,Cosmetics,진정,보타닉힐,보타닉힐 진정 토너 500ml,25900,500,민감성,어성초|알란토인|판테놀,홍조|여드름,쿨링|저자극|무향|고보습,"어성초를 핵심으로 배합한 진정 라인 토너, 민감성 피부에 부담 없이 사용 가능합니다."
P0018,Cosmetics,안티에이징,센텔라랩,센텔라랩 안티에이징 세럼 40ml,36900,40,건성,콜라겐|펩타이드|바쿠치올,주름,가벼운제형|고보습,40ml 용량의 세럼. 콜라겐 배합으로 주름 개선에 도움을 줍니다.
P0019,Cosmetics,보습,센텔라랩,센텔라랩 보습 토너 250ml,28900,250,복합성,세라마이드|히알루론산|글리세린|판테놀,건조함|각질|장벽손상,EWG그린|가벼운제형,세라마이드 성분이 건조함 고민을 집중 관리해주는 보습 토너입니다.
P0020,Cosmetics,안티에이징,더마노트,더마노트 안티에이징 앰플 50ml,72900,50,건성,EGF|레티놀|펩타이드,모공|탄력저하|다크서클,데일리|저자극|더모테스트완료|EWG그린,"EGF를 핵심으로 배합한 안티에이징 라인 앰플, 건성 피부에 부담 없이 사용 가능합니다."
P0021,Cosmetics,보습,포뮬러9,포뮬러9 보습 세럼 50ml,81900,50,민감성,글리세린|판테놀,장벽손상|각질|속당김,빠른흡수|데일리|비건|쿨링,"민감성 피부를 위해 설계된 세럼으로, 글리세린이 장벽손상을 케어합니다."
P0022,Cosmetics,진정,보타닉힐,보타닉힐 진정 세럼 40ml,29900,40,복합성,알란토인|티트리|센텔라아시아티카,트러블,더모테스트완료|비건,"트러블 때문에 고민이라면, 알란토인 함유 진정 세럼으로 데일리 케어를 시작해보세요."
P0023,Cosmetics,보습,보타닉힐,보타닉힐 보습 크림 80ml,84900,80,민감성,스쿠알란|글리세린|히알루론산,건조함|장벽손상|각질,쿨링|데일리|끈적임없음|더모테스트완료,스쿠알란 성분이 건조함 고민을 집중 관리해주는 보습 크림입니다.
P0024,Cosmetics,보습,리프팅데이,리프팅데이 보습 크림 100ml,39900,100,건성,글리세린|판테놀|아보카도오일,건조함|속당김|장벽손상,무향|비건|가벼운제형|고보습,"글리세린을 핵심으로 배합한 보습 라인 크림, 건성 피부에 부담 없이 사용 가능합니다."
P0025,Cosmetics,미백,포뮬러9,포뮬러9 미백 토너 500ml,33900,500,지성,글루타치온|감초추출물,칙칙함,가벼운제형|데일리|끈적임없음,글루타치온 성분이 칙칙함 고민을 집중 관리해주는 미백 토너입니다.
P0026,Cosmetics,미백,글로우랩,글로우랩 미백 크림 100ml,74900,100,공용,글루타치온|알부틴|유자추출물|트라넥삼산,칙칙함|색소침착,비건|EWG그린|고보습,글루타치온 성분이 칙칙함 고민을 집중 관리해주는 미백 크림입니다.
P0027,Cosmetics,진정,모이스트업,모이스트업 진정 젤크림 100ml,25900,100,민감성,티트리|어성초,여드름|피지과다|민감,더모테스트완료|무향|저자극,티트리 성분이 여드름 고민을 집중 관리해주는 진정 젤크림입니다.
P0028,Cosmetics,진정,글로우랩,글로우랩 진정 세럼 40ml,78900,40,민감성,프로폴리스|알란토인|판테놀|어성초,여드름|민감|트러블,데일리|저자극,40ml 용량의 세럼. 프로폴리스 배합으로 여드름 개선에 도움을 줍니다.
P0029,Cosmetics,안티에이징,더마노트,더마노트 안티에이징 앰플 30ml,118900,30,복합성,코엔자임Q10|펩타이드|세라마이드,모공,데일리|무향|더모테스트완료,"복합성 피부를 위해 설계된 앰플로, 코엔자임Q10이 모공을 케어합니다."
P0030,Cosmetics,보습,리프팅데이,리프팅데이 보습 크림 100ml,78900,100,건성,아보카도오일|판테놀|세라마이드,건조함|각질|속당김,논코메도제닉|쿨링|더모테스트완료|고보습,"건성 피부를 위해 설계된 크림으로, 아보카도오일이 건조함을 케어합니다."
P0031,Cosmetics,미백,퓨어리즘,퓨어리즘 미백 앰플 50ml,59900,50,공용,글루타치온|유자추출물|나이아신아마이드,잡티,끈적임없음|가벼운제형|쿨링|더모테스트완료,"모든 피부를 위해 설계된 앰플로, 글루타치온이 잡티를 케어합니다."
P0032,Cosmetics,안티에이징,아쿠아셀,아쿠아셀 안티에이징 아이크림 20ml,101900,20,건성,콜라겐|아데노신|레티놀|EGF,다크서클|주름|탄력저하,무향|끈적임없음,"건성 피부를 위해 설계된 아이크림으로, 콜라겐이 다크서클을 케어합니다."
P0033,Cosmetics,안티에이징,시카베이스,시카베이스 안티에이징 앰플 20ml,76900,20,건성,세라마이드|코엔자임Q10|아데노신,모공|다크서클|탄력저하,논코메도제닉|쿨링,세라마이드 성분이 모공 고민을 집중 관리해주는 안티에이징 앰플입니다.
P0034,Cosmetics,보습,퓨어리즘,퓨어리즘 보습 세럼 30ml,65900,30,건성,판테놀|콜라겐|글리세린|히알루론산,건조함,고보습|논코메도제닉,30ml 용량의 세럼. 판테놀 배합으로 건조함 개선에 도움을 줍니다.
P0035,Cosmetics,안티에이징,더마노트,더마노트 안티에이징 세럼 30ml,56900,30,공용,아데노신|펩타이드|코엔자임Q10,모공|주름,고보습|저자극|가벼운제형,"모공 때문에 고민이라면, 아데노신 함유 안티에이징 세럼으로 데일리 케어를 시작해보세요."
P0036,Cosmetics,진정,포뮬러9,포뮬러9 진정 젤크림 100ml,41900,100,공용,티트리|아줄렌|어성초|마데카소사이드,홍조|여드름|피지과다,쿨링|저자극|끈적임없음,"티트리를 핵심으로 배합한 진정 라인 젤크림, 모든 피부에 부담 없이 사용 가능합니다."
P0037,Cosmetics,진정,아쿠아셀,아쿠아셀 진정 세럼 30ml,77900,30,공용,알란토인|센텔라아시아티카|프로폴리스|아줄렌,홍조|트러블|민감,데일리|비건|쿨링|EWG그린,"홍조 때문에 고민이라면, 알란토인 함유 진정 세럼으로 데일리 케어를 시작해보세요."
P0038,Cosmetics,안티에이징,리프팅데이,리프팅데이 안티에이징 크림 80ml,59900,80,공용,펩타이드|콜라겐|EGF|세라마이드,탄력저하|다크서클,비건|더모테스트완료,80ml 용량의 크림. 펩타이드 배합으로 탄력저하 개선에 도움을 줍니다.
P0039,Cosmetics,미백,클리어핏,클리어핏 미백 크림 60ml,66900,60,건성,글루타치온|유자추출물,잡티,EWG그린|무향|가벼운제형,"건성 피부를 위해 설계된 크림으로, 글루타치온이 잡티를 케어합니다."
P0040,Cosmetics,보습,모이스트업,모이스트업 보습 토너 150ml,43900,150,공용,히알루론산|스쿠알란|아보카도오일|글리세린,장벽손상,끈적임없음|비건|EWG그린|빠른흡수,히알루론산 성분이 장벽손상 고민을 집중 관리해주는 보습 토너입니다.
P0041,Cosmetics,진정,클리어핏,클리어핏 진정 토너 250ml,46900,250,지성,판테놀|아줄렌|센텔라아시아티카|티트리,트러블|홍조|민감,쿨링|데일리|빠른흡수|가벼운제형,"지성 피부를 위해 설계된 토너로, 판테놀이 트러블을 케어합니다."
P0042,Cosmetics,보습,뷰티코드,뷰티코드 보습 세럼 30ml,48900,30,민감성,히알루론산|세라마이드,속당김|장벽손상|각질,끈적임없음|저자극|빠른흡수,"속당김 때문에 고민이라면, 히알루론산 함유 보습 세럼으로 데일리 케어를 시작해보세요."
P0043,Cosmetics,보습,아쿠아셀,아쿠아셀 보습 세럼 50ml,77900,50,건성,히알루론산|아보카도오일|글리세린,속당김|장벽손상|건조함,쿨링|데일리|EWG그린|저자극,50ml 용량의 세럼. 히알루론산 배합으로 속당김 개선에 도움을 줍니다.
P0044,Cosmetics,안티에이징,뷰티코드,뷰티코드 안티에이징 크림 60ml,82900,60,건성,아데노신|콜라겐|펩타이드,탄력저하|모공,빠른흡수|가벼운제형|저자극|끈적임없음,아데노신 성분이 탄력저하 고민을 집중 관리해주는 안티에이징 크림입니다.
P0045,Cosmetics,진정,아쿠아셀,아쿠아셀 진정 마스크팩 30ml,8900,30,민감성,아줄렌|센텔라아시아티카|어성초,민감|트러블,데일리|무향|논코메도제닉,30ml 용량의 마스크팩. 아줄렌 배합으로 민감 개선에 도움을 줍니다.
P0046,Cosmetics,보습,클리어핏,클리어핏 보습 크림 60ml,28900,60,공용,시어버터|글리세린|세라마이드,각질|장벽손상,고보습|비건,시어버터 성분이 각질 고민을 집중 관리해주는 보습 크림입니다.
P0047,Cosmetics,미백,모이스트업,모이스트업 미백 세럼 40ml,82900,40,공용,글루타치온|알부틴,기미,저자극|데일리|쿨링,"모든 피부를 위해 설계된 세럼으로, 글루타치온이 기미를 케어합니다."
P0048,Cosmetics,진정,보타닉힐,보타닉힐 진정 마스크팩 23ml,3900,23,공용,센텔라아시아티카|판테놀|어성초|티트리,트러블|여드름,끈적임없음|더모테스트완료,"트러블 때문에 고민이라면, 센텔라아시아티카 함유 진정 마스크팩으로 데일리 케어를 시작해보세요."
P0049,Cosmetics,보습,리프팅데이,리프팅데이 보습 세럼 50ml,34900,50,건성,콜라겐|시어버터,장벽손상|각질,끈적임없음|빠른흡수|쿨링|가벼운제형,"건성 피부를 위해 설계된 세럼으로, 콜라겐이 장벽손상을 케어합니다."
P0050,Cosmetics,미백,모이스트업,모이스트업 미백 세럼 30ml,105900,30,복합성,비타민C|나이아신아마이드,칙칙함,데일리|저자극|빠른흡수,"비타민C를 핵심으로 배합한 미백 라인 세럼, 복합성 피부에 부담 없이 사용 가능합니다."
P0051,Cosmetics,진정,리프팅데이,리프팅데이 진정 마스크팩 30ml,2900,30,민감성,알란토인|마데카소사이드,민감,쿨링|더모테스트완료|데일리|고보습,알란토인 성분이 민감 고민을 집중 관리해주는 진정 마스크팩입니다.
P0052,Cosmetics,안티에이징,모이스트업,모이스트업 안티에이징 아이크림 20ml,84900,20,건성,코엔자임Q10|세라마이드|콜라겐|EGF,탄력저하,무향|가벼운제형|빠른흡수,"코엔자임Q10을 핵심으로 배합한 안티에이징 라인 아이크림, 건성 피부에 부담 없이 사용 가능합니다."
P0053,Cosmetics,안티에이징,보타닉힐,보타닉힐 안티에이징 앰플 30ml,75900,30,공용,레티놀|코엔자임Q10|콜라겐,다크서클|주름|탄력저하,데일리|고보습|무향|비건,30ml 용량의 앰플. 레티놀 배합으로 다크서클 개선에 도움을 줍니다.
P0054,Cosmetics,보습,리프팅데이,리프팅데이 보습 세럼 50ml,60900,50,민감성,시어버터|콜라겐|스쿠알란,각질,비건|저자극|데일리|무향,50ml 용량의 세럼. 시어버터 배합으로 각질 개선에 도움을 줍니다.
P0055,Cosmetics,보습,퓨어리즘,퓨어리즘 보습 로션 130ml,52900,130,건성,히알루론산|글리세린|판테놀,건조함,쿨링|빠른흡수|가벼운제형|무향,"건조함 때문에 고민이라면, 히알루론산 함유 보습 로션으로 데일리 케어를 시작해보세요."
P0056,Cosmetics,보습,보타닉힐,보타닉힐 보습 로션 100ml,53900,100,건성,세라마이드|스쿠알란|판테놀,속당김|각질,무향|저자극,"건성 피부를 위해 설계된 로션으로, 세라마이드가 속당김을 케어합니다."
P0057,Cosmetics,미백,뷰티코드,뷰티코드 미백 세럼 50ml,32900,50,공용,글루타치온|비타민C|나이아신아마이드,색소침착|잡티|기미,끈적임없음|데일리,글루타치온 성분이 색소침착 고민을 집중 관리해주는 미백 세럼입니다.
P0058,Cosmetics,진정,센텔라랩,센텔라랩 진정 토너 500ml,26900,500,지성,프로폴리스|알란토인|마데카소사이드|판테놀,민감,끈적임없음|저자극|고보습,"지성 피부를 위해 설계된 토너로, 프로폴리스가 민감을 케어합니다."
P0059,Cosmetics,보습,보타닉힐,보타닉힐 보습 로션 200ml,30900,200,건성,시어버터|세라마이드|히알루론산|글리세린,건조함|속당김|장벽손상,비건|가벼운제형|빠른흡수,"시어버터를 핵심으로 배합한 보습 라인 로션, 건성 피부에 부담 없이 사용 가능합니다."
P0060,Cosmetics,미백,시카베이스,시카베이스 미백 앰플 50ml,84900,50,건성,유자추출물|나이아신아마이드|트라넥삼산|비타민C,칙칙함|기미,끈적임없음|빠른흡수|고보습|가벼운제형,50ml 용량의 앰플. 유자추출물 배합으로 칙칙함 개선에 도움을 줍니다.
P0061,Cosmetics,안티에이징,포뮬러9,포뮬러9 안티에이징 앰플 20ml,96900,20,건성,바쿠치올|펩타이드,다크서클|모공,비건|고보습|가벼운제형,"다크서클 때문에 고민이라면, 바쿠치올 함유 안티에이징 앰플로 데일리 케어를 시작해보세요."
P0062,Cosmetics,보습,더마노트,더마노트 보습 세럼 30ml,30900,30,건성,세라마이드|판테놀|콜라겐,건조함|각질|장벽손상,빠른흡수|논코메도제닉|쿨링|무향,세라마이드 성분이 건조함 고민을 집중 관리해주는 보습 세럼입니다.
P0063,Cosmetics,미백,시카베이스,시카베이스 미백 앰플 20ml,127900,20,복합성,나이아신아마이드|알부틴|유자추출물,잡티|색소침착|기미,빠른흡수|저자극|쿨링,"잡티 때문에 고민이라면, 나이아신아마이드 함유 미백 앰플로 데일리 케어를 시작해보세요."
P0064,Cosmetics,보습,글로우랩,글로우랩 보습 크림 80ml,64900,80,복합성,판테놀|스쿠알란|세라마이드|글리세린,속당김,논코메도제닉|가벼운제형|데일리|더모테스트완료,"복합성 피부를 위해 설계된 크림으로, 판테놀이 속당김을 케어합니다."
P0065,Cosmetics,진정,뷰티코드,뷰티코드 진정 세럼 40ml,45900,40,민감성,어성초|마데카소사이드,민감,가벼운제형|고보습,"민감성 피부를 위해 설계된 세럼으로, 어성초가 민감을 케어합니다."
P0066,Cosmetics,미백,글로우랩,글로우랩 미백 세럼 30ml,28900,30,공용,비타민C|유자추출물|트라넥삼산,기미|색소침착,빠른흡수|EWG그린|끈적임없음|고보습,"비타민C를 핵심으로 배합한 미백 라인 세럼, 모든 피부에 부담 없이 사용 가능합니다."
P0067,Cosmetics,미백,포뮬러9,포뮬러9 미백 크림 60ml,71900,60,공용,글루타치온|나이아신아마이드|감초추출물,색소침착|기미|칙칙함,비건|끈적임없음|빠른흡수|데일리,60ml 용량의 크림. 글루타치온 배합으로 색소침착 개선에 도움을 줍니다.
P0068,Cosmetics,보습,포뮬러9,포뮬러9 보습 토너 300ml,34900,300,복합성,세라마이드|판테놀|스쿠알란,속당김|건조함|장벽손상,더모테스트완료|쿨링|비건|데일리,"속당김 때문에 고민이라면, 세라마이드 함유 보습 토너로 데일리 케어를 시작해보세요."
P0069,Cosmetics,보습,센텔라랩,센텔라랩 보습 토너 300ml,20900,300,복합성,콜라겐|아보카도오일,각질,논코메도제닉|비건,"복합성 피부를 위해 설계된 토너로, 콜라겐이 각질을 케어합니다."
P0070,Cosmetics,안티에이징,리프팅데이,리프팅데이 안티에이징 크림 50ml,35900,50,공용,콜라겐|아데노신|세라마이드,주름|탄력저하,무향|고보습,"모든 피부를 위해 설계된 크림으로, 콜라겐이 주름을 케어합니다."
P0071,Cosmetics,보습,아쿠아셀,아쿠아셀 보습 토너 150ml,44900,150,건성,스쿠알란|세라마이드|히알루론산|글리세린,건조함,논코메도제닉|더모테스트완료|고보습,150ml 용량의 토너. 스쿠알란 배합으로 건조함 개선에 도움을 줍니다.
P0072,Cosmetics,진정,퓨어리즘,퓨어리즘 진정 토너 500ml,32900,500,민감성,알란토인|판테놀|티트리|마데카소사이드,홍조|민감,더모테스트완료|고보습|쿨링|EWG그린,500ml 용량의 토너. 알란토인 배합으로 홍조 개선에 도움을 줍니다.
P0073,Cosmetics,미백,포뮬러9,포뮬러9 미백 세럼 40ml,84900,40,공용,글루타치온|비타민C,잡티,고보습|무향,"모든 피부를 위해 설계된 세럼으로, 글루타치온이 잡티를 케어합니다."
P0074,Cosmetics,보습,리프팅데이,리프팅데이 보습 토너 500ml,24900,500,공용,시어버터|콜라겐,건조함,쿨링|데일리|끈적임없음|비건,"시어버터를 핵심으로 배합한 보습 라인 토너, 모든 피부에 부담 없이 사용 가능합니다."
P0075,Cosmetics,미백,포뮬러9,포뮬러9 미백 세럼 30ml,32900,30,공용,유자추출물|트라넥삼산,칙칙함|색소침착,무향|빠른흡수,"유자추출물을 핵심으로 배합한 미백 라인 세럼, 모든 피부에 부담 없이 사용 가능합니다."
P0076,Cosmetics,진정,센텔라랩,센텔라랩 진정 토너 200ml,19900,200,공용,판테놀|마데카소사이드|어성초|센텔라아시아티카,트러블|홍조,논코메도제닉|끈적임없음,"판테놀을 핵심으로 배합한 진정 라인 토너, 모든 피부에 부담 없이 사용 가능합니다."
P0077,Cosmetics,진정,뷰티코드,뷰티코드 진정 마스크팩 30ml,5900,30,공용,센텔라아시아티카|티트리,트러블|민감|여드름,쿨링|고보습|빠른흡수|끈적임없음,30ml 용량의 마스크팩. 센텔라아시아티카 배합으로 트러블 개선에 도움을 줍니다.
