product_id,product_category_id,brand,name,food_form,price_krw,weight_g,kcal_per_100g,target_size_min,target_size_max,target_age_min_month,target_age_max_month,description,ingredients_verified,is_active,created_at,updated_at
1,1,스노우독,스노우독 사료 01호,건식,28900,7470,430,4,4,0,1200,"개 전용 건식 사료. 대형 전용, 전 연령 대상. 소고기·양고기·완두단백 배합. 피부 관리 목적.",1,1,2025-04-21 22:34:30,2025-05-11 23:38:28
2,3,스노우독,스노우독 덴탈껌 01호,공용,20700,440,358,1,5,0,12,"개 전용 공용 덴탈껌. 전 체구, 유아기 대상. 양고기 배합. 치아 관리 목적.",1,1,2023-10-27 02:43:27,2026-03-07 23:46:14
3,3,펫키친,펫키친 덴탈껌 01호,동결건조,17200,220,483,1,5,0,1200,"개 전용 동결건조 덴탈껌. 전 체구, 전 연령 대상. 소고기·양고기·요거트분말 배합. 치아/신장 관리 목적.",0,0,2023-12-06 00:36:18,2025-07-29 06:54:24
4,3,퍼피랩,퍼피랩 덴탈껌 01호,동결건조,10200,100,410,1,2,0,1200,"개 전용 동결건조 덴탈껌. 초소형~소형, 전 연령 대상. 돼지고기·난황분말·어분 배합. 관절/치아 관리 목적.",1,1,2024-11-16 16:08:05,2025-03-26 05:47:43
5,3,헬시포,헬시포 덴탈껌 01호,건식,4600,190,350,1,5,0,1200,"개 전용 건식 덴탈껌. 전 체구, 전 연령 대상. 연어 배합. 치아/소화 관리 목적.",0,1,2024-07-03 19:38:12,2026-05-02 11:46:31
6,1,캣테이블,캣테이블 사료 01호,건식,10600,1970,374,1,5,0,12,"고양이 전용 건식 사료. 전 체구, 유아기 대상. 닭고기·우육분·연어 배합. 다이어트/신장 관리 목적.",1,1,2026-02-03 20:32:36,2026-08-01 21:45:34
7,5,펫키친,펫키친 수제간식 01호,건식,9000,270,415,1,5,12,1200,"개 전용 건식 수제간식. 전 체구, 성년기 대상. 닭가슴살·연어·참치 배합. 일상 급여 목적.",1,1,2023-05-30 20:11:07,2024-12-30 13:05:51
8,3,냥푸드,냥푸드 덴탈껌 01호,습식,13700,290,94,2,2,84,1200,"고양이 전용 습식 덴탈껌. 소형 전용, 노령기 대상. 돼지고기·홍합추출물·비트펄프 배합. 다이어트/치아 관리 목적.",1,1,2026-04-21 11:06:54,2026-06-03 17:12:06
9,1,와일드포,와일드포 사료 01호,건식,48900,5370,389,1,5,0,1200,"개 전용 건식 사료. 전 체구, 전 연령 대상. 오리고기·돼지고기·소맥분 배합. 일상 급여 목적.",1,1,2026-05-14 03:00:06,2026-07-02 11:03:35
10,4,펫키친,펫키친 트릿 01호,건식,3000,60,429,1,5,0,1200,"개 전용 건식 트릿. 전 체구, 전 연령 대상. 돼지고기 배합. 관절/신장 관리 목적.",1,1,2025-07-04 13:17:04,2026-04-05 20:15:28
11,4,그레인프리랩,그레인프리랩 트릿 01호,건식,14600,360,341,1,5,0,1200,"개 전용 건식 트릿. 전 체구, 전 연령 대상. 오리고기·가금부산물분 배합. 일상 급여 목적.",1,1,2023-09-18 08:05:21,2026-01-11 07:48:51
12,3,퍼피랩,퍼피랩 덴탈껌 02호,동결건조,20400,200,440,1,2,12,1200,"개 전용 동결건조 덴탈껌. 초소형~소형, 성년기 대상. 오리고기·대구살·계란 배합. 피부/치아 관리 목적.",0,1,2024-09-27 09:23:14,2024-10-13 16:55:43
13,1,그레인프리랩,그레인프리랩 사료 01호,생식,22100,1480,155,1,5,0,1200,"개·고양이 공용 생식 사료. 전 체구, 전 연령 대상. 칠면조고기·연어·탈지분유 배합. 관절 관리 목적.",1,1,2023-10-31 16:04:36,2026-01-27 04:16:46
14,1,냥푸드,냥푸드 사료 01호,동결건조,24900,230,419,1,2,0,1200,"고양이 전용 동결건조 사료. 초소형~소형, 전 연령 대상. 참치·현미·글루코사민 배합. 다이어트 관리 목적.",0,0,2023-12-14 16:25:35,2026-03-20 17:51:04
15,1,캣테이블,캣테이블 사료 02호,건식,17800,4410,382,1,5,0,1200,"고양이 전용 건식 사료. 전 체구, 전 연령 대상. 닭고기·닭지방·우육분 배합. 신장 관리 목적.",1,1,2024-07-16 16:01:13,2026-08-09 21:48:35
16,5,펫키친,펫키친 수제간식 02호,동결건조,12100,200,485,1,5,0,12,"개 전용 동결건조 수제간식. 전 체구, 유아기 대상. 오리고기·오리안심·크랜베리 배합. 다이어트 관리 목적.",1,1,2024-01-21 07:03:05,2024-10-23 09:35:06
17,5,그레인프리랩,그레인프리랩 수제간식 01호,건식,3700,80,383,1,5,0,1200,"개 전용 건식 수제간식. 전 체구, 전 연령 대상. 돼지고기 배합. 관절 관리 목적.",1,1,2026-02-28 14:17:55,2026-08-10 20:37:36
18,1,퍼피랩,퍼피랩 사료 01호,건식,30900,5200,344,1,5,0,1200,"개 전용 건식 사료. 전 체구, 전 연령 대상. 오리안심·대구살·소맥분 배합. 신장 관리 목적.",1,1,2023-09-26 09:18:44,2023-12-12 18:25:21
19,1,펫키친,펫키친 사료 01호,습식,20000,1020,,1,5,0,1200,"개 전용 습식 사료. 전 체구, 전 연령 대상. 소고기·홍합추출물·치즈분말 배합. 신장 관리 목적.",0,1,2024-03-21 00:01:18,2025-11-23 12:59:02
20,3,냥푸드,냥푸드 덴탈껌 02호,공용,5000,220,348,1,5,84,1200,"고양이 전용 공용 덴탈껌. 전 체구, 노령기 대상. 연어·새우 배합. 다이어트/치아 관리 목적.",1,1,2025-03-07 20:39:35,2026-02-15 04:31:04
21,1,그레인프리랩,그레인프리랩 사료 02호,건식,19200,1980,426,1,5,0,1200,"개·고양이 공용 건식 사료. 전 체구, 전 연령 대상. 치즈분말·옥수수전분·스피루리나 배합. 피부/신장 관리 목적.",0,1,2023-04-26 14:23:47,2025-07-23 16:54:55
22,5,펫키친,펫키친 수제간식 03호,공용,17300,430,364,1,5,0,1200,"개 전용 공용 수제간식. 전 체구, 전 연령 대상. 우육분·유산균·동물성유지 배합. 일상 급여 목적.",1,1,2023-03-09 16:36:29,2025-02-11 22:58:00
23,1,네이처독,네이처독 사료 01호,습식,24500,1150,112,1,1,12,1200,"개 전용 습식 사료. 초소형 전용, 성년기 대상. 칠면조고기·새우·대두박 배합. 다이어트 관리 목적.",1,0,2025-05-22 06:28:51,2025-08-30 03:24:30
24,1,네이처독,네이처독 사료 02호,건식,57200,9700,356,1,5,12,1200,"개 전용 건식 사료. 전 체구, 성년기 대상. 닭가슴살·대두박·크랜베리 배합. 일상 급여 목적.",0,1,2024-02-13 15:24:03,2025-07-25 17:28:56
25,3,헬시포,헬시포 덴탈껌 02호,공용,1900,80,345,2,2,0,1200,"개 전용 공용 덴탈껌. 소형 전용, 전 연령 대상. 닭가슴살·양고기·돼지고기 배합. 관절/치아/소화 관리 목적.",1,1,2023-04-17 06:00:01,2025-02-13 06:56:32
26,4,헬시포,헬시포 트릿 01호,습식,4400,140,111,3,3,0,1200,"개 전용 습식 트릿. 중형 전용, 전 연령 대상. 새우 배합. 피부 관리 목적.",1,1,2026-07-13 13:42:30,2026-08-14 08:36:21
27,1,바크앤조이,바크앤조이 사료 01호,건식,51900,8290,,4,5,0,1200,"개·고양이 공용 건식 사료. 대형~초대형, 전 연령 대상. 오리고기·칠면조고기·양고기 배합. 다이어트/소화 관리 목적.",1,1,2026-01-10 12:51:57,2026-03-10 15:33:50
28,1,바크앤조이,바크앤조이 사료 02호,건식,42200,4930,351,1,5,84,1200,"대상 축종 미등록 건식 사료. 전 체구, 노령기 대상. 돼지고기·보리·병아리콩 배합. 다이어트 관리 목적.",0,1,2025-08-23 04:48:10,2026-07-06 00:31:04
29,1,퍼피랩,퍼피랩 사료 02호,습식,34500,1990,96,4,5,84,1200,"개 전용 습식 사료. 대형~초대형, 노령기 대상. 양고기·탈지분유·밀 배합. 다이어트 관리 목적.",1,1,2026-08-02 21:45:53,2026-08-03 10:46:17
30,1,도그밀,도그밀 사료 01호,공용,3800,480,395,1,5,0,1200,"개 전용 공용 사료. 전 체구, 전 연령 대상. 칠면조고기·돼지고기·밀 배합. 일상 급여 목적.",0,1,2026-05-09 13:15:41,2026-05-20 23:04:13
31,1,그레인프리랩,그레인프리랩 사료 03호,습식,4500,270,118,1,5,0,12,"개 전용 습식 사료. 전 체구, 유아기 대상. 옥수수전분·감자전분·베이커리부산물 배합. 다이어트/피부 관리 목적.",0,1,2025-04-17 08:24:42,2026-07-07 10:57:54
32,5,도그밀,도그밀 수제간식 01호,동결건조,11700,130,404,4,4,0,12,"개 전용 동결건조 수제간식. 대형 전용, 유아기 대상. 새우 배합. 신장 관리 목적.",1,1,2025-11-30 02:02:09,2026-02-22 20:34:30
33,3,냥푸드,냥푸드 덴탈껌 03호,공용,10600,290,313,1,5,0,12,"고양이 전용 공용 덴탈껌. 전 체구, 유아기 대상. 오리안심·칠면조고기·우육분 배합. 치아/신장 관리 목적.",0,1,2023-05-10 01:49:32,2025-12-11 16:23:23
34,1,도그밀,도그밀 사료 02호,건식,38100,4520,347,1,5,0,1200,"개 전용 건식 사료. 전 체구, 전 연령 대상. 대구살·새우·현미 배합. 일상 급여 목적.",0,1,2026-05-05 15:24:07,2026-06-17 21:41:13
35,1,펫키친,펫키친 사료 02호,건식,46400,5310,,1,5,0,1200,"개·고양이 공용 건식 사료. 전 체구, 전 연령 대상. 참치·치즈분말·옥수수 배합. 관절 관리 목적.",1,1,2026-07-18 07:48:52,2026-08-21 12:40:31
36,1,펫키친,펫키친 사료 03호,건식,50700,6780,336,1,5,12,1200,"개 전용 건식 사료. 전 체구, 성년기 대상. 닭지방·참치·대두박 배합. 피부/소화 관리 목적.",1,1,2025-01-11 22:44:21,2025-08-26 21:16:59
37,1,네이처독,네이처독 사료 03호,건식,39400,9860,343,4,5,84,1200,"개 전용 건식 사료. 대형~초대형, 노령기 대상. 연어·홍합추출물·현미 배합. 다이어트 관리 목적.",1,1,2024-01-04 08:32:09,2025-11-19 03:26:58
38,1,멍푸드,멍푸드 사료 01호,생식,27500,1140,193,3,3,84,1200,"개 전용 생식 사료. 중형 전용, 노령기 대상. 소고기·양고기·참치 배합. 일상 급여 목적.",1,1,2025-10-17 19:34:26,2026-06-01 21:13:55
39,3,도그밀,도그밀 덴탈껌 01호,습식,3300,60,,1,5,0,1200,"개·고양이 공용 습식 덴탈껌. 전 체구, 전 연령 대상. 대구살·탈지분유·치즈분말 배합. 다이어트/치아 관리 목적.",1,1,2026-05-02 05:22:37,2026-07-26 14:27:08
40,3,와일드포,와일드포 덴탈껌 01호,공용,3700,100,332,1,2,84,1200,"개·고양이 공용 공용 덴탈껌. 초소형~소형, 노령기 대상. 돼지고기·참치·탈지분유 배합. 관절/치아/신장 관리 목적.",1,1,2025-05-09 22:39:05,2025-07-24 23:32:34
41,1,스노우독,스노우독 사료 02호,건식,25400,2650,356,4,5,12,1200,"개 전용 건식 사료. 대형~초대형, 성년기 대상. 돼지고기·연어·난황분말 배합. 피부 관리 목적.",1,1,2025-03-30 06:25:49,2026-07-14 21:05:46
42,4,네이처독,네이처독 트릿 01호,동결건조,5400,60,434,4,5,12,1200,"개 전용 동결건조 트릿. 대형~초대형, 성년기 대상. 우육분·유산균·아마씨 배합. 일상 급여 목적.",1,1,2023-10-08 11:05:07,2025-02-27 06:58:24
43,1,펫키친,펫키친 사료 04호,동결건조,51400,480,449,1,5,84,1200,"개 전용 동결건조 사료. 전 체구, 노령기 대상. 계육분·칠면조고기·옥수수전분 배합. 관절/피부 관리 목적.",1,1,2025-04-19 01:33:13,2026-03-10 10:16:13
44,5,퍼피랩,퍼피랩 수제간식 01호,습식,3900,110,77,1,5,0,1200,"개 전용 습식 수제간식. 전 체구, 전 연령 대상. 양고기 배합. 소화 관리 목적.",1,1,2023-01-01 02:04:06,2025-09-21 09:09:45
45,2,냥푸드,냥푸드 간식 01호,건식,5400,160,408,1,5,0,1200,"고양이 전용 건식 간식. 전 체구, 전 연령 대상. 계육분·오리안심·양고기 배합. 관절/소화 관리 목적.",1,1,2024-07-27 17:33:32,2026-05-18 09:52:30
46,1,와일드포,와일드포 사료 02호,습식,3100,260,80,1,5,84,1200,"개 전용 습식 사료. 전 체구, 노령기 대상. 계육분·홍합추출물·요거트분말 배합. 소화 관리 목적.",1,1,2026-05-01 19:46:48,2026-08-17 09:28:08
47,1,퍼피랩,퍼피랩 사료 03호,건식,14300,3910,375,1,5,0,1200,"개·고양이 공용 건식 사료. 전 체구, 전 연령 대상. 계육분·새우·소맥분 배합. 관절/소화 관리 목적.",1,1,2023-07-20 09:39:08,2026-06-17 16:28:04
48,3,그레인프리랩,그레인프리랩 덴탈껌 01호,습식,7200,120,107,1,5,12,1200,"개 전용 습식 덴탈껌. 전 체구, 성년기 대상. 닭고기·우육분·요거트분말 배합. 다이어트/치아/소화 관리 목적.",1,1,2025-10-26 23:42:33,2026-06-18 09:30:22
49,3,네이처독,네이처독 덴탈껌 01호,건식,21800,470,392,1,5,0,1200,"개 전용 건식 덴탈껌. 전 체구, 전 연령 대상. 소고기·새우·탈지분유 배합. 치아 관리 목적.",1,0,2025-11-08 14:23:50,2026-05-11 13:14:32
50,3,스노우독,스노우독 덴탈껌 02호,동결건조,16000,170,400,4,5,12,1200,"개 전용 동결건조 덴탈껌. 대형~초대형, 성년기 대상. 우육분·요거트분말 배합. 관절/치아 관리 목적.",1,1,2025-03-12 05:08:39,2026-05-27 05:23:47
51,1,퍼피랩,퍼피랩 사료 04호,동결건조,32100,540,,4,5,84,1200,"개 전용 동결건조 사료. 대형~초대형, 노령기 대상. 대구살·현미·백미 배합. 일상 급여 목적.",1,1,2026-05-06 19:22:21,2026-05-19 07:19:06
52,1,퍼피랩,퍼피랩 사료 05호,습식,25400,1180,114,1,5,0,1200,"개 전용 습식 사료. 전 체구, 전 연령 대상. 닭가슴살·홍합추출물·치즈분말 배합. 일상 급여 목적.",0,1,2023-01-18 17:29:41,2026-06-17 11:53:19
53,3,퍼피랩,퍼피랩 덴탈껌 03호,습식,4000,140,119,4,5,0,1200,"개 전용 습식 덴탈껌. 대형~초대형, 전 연령 대상. 소고기·가금부산물분 배합. 치아 관리 목적.",0,1,2023-12-09 02:30:59,2025-06-19 05:20:28
